Instance Name	Segment Store	Disk Space Utilization
aristonthermo-prod1-publish1eucentral1	3G	61%
uob-prod2-publish2apsoutheast1	3G	38%
telstra-prod12-publish2apsoutheast2	3G	38%
lambweston-prod1-publish1useast1	3G	35%
edelweisstokio-prod-publish1apsouth1	3G	33%
nskeuropeltd-prod1-publish1eucentral1	3G	30%
merrillcorp-prod1-publish1eastus	3G	23%
uoc-prod4-publish1australiaeast	3G	14%
pacificlifersd-prod2-author1uswest2	3G	6%
ncrcorporation-prod2-publish1useast1	2.9G	41%
axpo-prod1-publish1westeurope	2.9G	37%
cuna-prod-publish1centralus	2.9G	17%
cir2-prod2-publish2useast1	2.9G	13%
gga-prod1-author1uswest2	2.9G	11%
berlinairport-prod1-author1eucentral1	2.9G	5%
hillrom-prod1-publish2eastus2	2.8G	43%
nvpuratos-prod3-publish2northeurope	2.8G	42%
telstra-prod12-publish1apsoutheast2	2.8G	39%
caltex-prod7-author1apsoutheast1	2.8G	38%
hillrom-prod1-publish1eastus2	2.8G	37%
equinix-prod1-publish1westus2	2.8G	25%
technische-prod-author1westeurope	2.8G	24%
cir2-prod2-publish1useast1	2.8G	13%
rubrik-prod2-author1uswest1	2.8G	9%
hbkworld-prod-author1northeurope	2.8G	9%
moog-prod3-publish1useast1	2.7G	50%
fleetcor-prod8-publish1useast1	2.7G	41%
nbugini-prod4-publish2eucentral1	2.7G	31%
nskeuropeltd-prod1-publish2eucentral1	2.7G	28%
galapagos-prod-publish1eucentral1	2.7G	23%
unionen-prod-author1westeurope	2.7G	11%
lr-prod2-publish1northeurope	2.6G	88%
galapagos-prod-author1eucentral1	2.6G	36%
csmbakerysolutions-prod3-publish1useast1	2.6G	30%
northgate-prod2-author1francecentral	2.6G	28%
tods-prod3-publish2eucentral1	2.6G	24%
jti-prod1-publish2westeurope	2.6G	19%
cuna-prod-publish2centralus	2.6G	17%
uoc-prod4-publish2australiaeast	2.6G	13%
northgate-prod2-publish1francecentral	2.6G	12%
cargill-prod4-author1useast1	2.6G	8%
dropbox-intranet-prod1-publish2uswest1	2.5G	31%
hangseng-prod1-publish1southeastasia	2.5G	22%
wideroe-prod1-author1eucentral1	2.5G	21%
ceat-prod1-publish1apsouth1	2.5G	15%
redfcu-prod1-publish1useast1	2.5G	13%
zsassociate-prod-author1eastus	2.5G	7%
mcdonaldprom-prod-author1westeurope	2.5G	4%
cargill-prod4-publish2useast1	2.4G	39%
tods-prod3-publish1eucentral1	2.4G	20%
uniting-prod1-author1australiaeast	2.4G	19%
wideroe-prod1-publish2eucentral1	2.4G	15%
ororagroup-prod-publish1uswest1	2.4G	11%
mcgladreyllp-prod1-author1centralus	2.4G	4%
aristonthermo-prod1-publish2eucentral1	2.3G	60%
verisuresarl-prod2-publish1eucentral1	2.3G	52%
fleetcor-prod8-publish2useast1	2.3G	40%
moteogroup-prod1-publish1euwest1	2.3G	20%
vizio-prod-publish1westus2	2.3G	18%
moteogroup-prod1-publish2euwest1	2.3G	16%
vedacitotto-prod-author1brazilsouth	2.3G	12%
stepan-prod-author1centralus	2.3G	8%
twentyfourhour-prod1-author1uswest1	2.3G	7%
gigamon-prod3-publish2uswest2	2.2G	50%
cargill-prod4-publish1useast1	2.2G	38%
rubrik-prod2-publish2uswest1	2.2G	33%
aicd-prod-publish1australiaeast	2.2G	20%
aicd-prod-author1australiaeast	2.2G	20%
ustglobal-prod1-publish2eastus2	2.2G	19%
lionbridge-prod2-publish2eastus	2.2G	18%
lionbridge-prod2-publish1eastus	2.2G	16%
stepan-prod-publish1centralus	2.2G	15%
nrucfc-prod9-publish1useast1	2.2G	14%
singlife-prod-publish2apsoutheast1	2.2G	13%
singlife-prod-publish1apsoutheast1	2.2G	13%
cst-prod-publish1canadacentral	2.2G	9%
beckshybrids-prod-publish1centralus	2.2G	6%
cerebos-prod2-author1apsoutheast1	2.1G	83%
ncrcorporation-prod2-publish2useast1	2.1G	42%
edaff-prod2-publish2useast1	2.1G	41%
trustmark-prod-author1eastus	2.1G	31%
nswbc-prod-publish2australiaeast	2.1G	25%
zsassociate-prod-publish1eastus	2.1G	20%
delicato-prod1-publish1uswest1	2.1G	14%
moneypens-prod-author1uksouth	2.1G	5%
bigfishgames-prod2-author1uswest2	2.1G	5%
ustglobal-prod1-author1eastus2	2.1G	4%
goodlife-prod-publish1canadacentral	2G	45%
telecolumbus-prod2-author1eucentral1	2G	39%
dropbox-intranet-prod1-publish1uswest1	2G	33%
blacksunplc-prod-publish1euwest1	2G	28%
edelweisstokio-prod-publish3apsouth1	2G	27%
expedia-prod2-publish1uswest2	2G	26%
temasek-prod-publish1southeastasia	2G	21%
forem-prod-publish1westeurope	2G	17%
delicato-prod1-publish2uswest1	2G	14%
ethiassa-prod2-author1westeurope	2G	12%
jti-prod1-author1westeurope	2G	8%
edelweisstokio-prod-author1apsouth1	2G	5%
incommholding-prod-author1eastus	2G	3%
gigamon-prod3-publish1uswest2	1.9G	49%
jti-prod1-publish1westeurope	1.9G	39%
cityofsac-prod2-publish2westus2	1.9G	37%
nagaseamer-prod-publish1eastus2	1.9G	31%
blacksunplc-prod-publish2euwest1	1.9G	28%
expedia-prod2-publish2uswest2	1.9G	27%
pacificlifersd-prod2-publish1uswest2	1.9G	25%
nuance-prod4-publish1useast1	1.9G	16%
stepan-prod-publish2centralus	1.9G	7%
fcci-prod2-publish2useast1	1.9G	7%
msccruises-prod2-publish2eucentral1	1.8G	48%
msccruises-prod2-publish1eucentral1	1.8G	48%
svenskaspelsportcasino-prod1-author1euwest1	1.8G	33%
pacificlifersd-prod2-publish2uswest2	1.8G	26%
minitab-prod-publish1centralus	1.8G	14%
msccruises-prod2-author1eucentral1	1.8G	11%
incommholding-prod-publish1eastus	1.8G	5%
hbkworld-prod-publish1northeurope	1.8G	5%
futuregenerali-prod-author1apsouth1	1.8G	5%
dmv-prod-publish1westus	1.8G	5%
ororagroup-prod-author1uswest1	1.8G	4%
cityofsac-prod2-author1westus2	1.7G	42%
rubrik-prod2-publish1uswest1	1.7G	33%
nagase-prod-75e-04-publish1useast1	1.7G	33%
redfcu-prod1-author1useast1	1.7G	24%
merrillcorp-prod1-publish2eastus	1.7G	22%
telecolumbus-prod2-publish1eucentral1	1.7G	18%
bigfishgames-prod2-publish2uswest2	1.7G	18%
telecolumbus-prod2-publish2eucentral1	1.7G	16%
ororagroup-prod-publish2uswest1	1.7G	10%
fncs-prod1-author1useast1	1.7G	8%
edaff-prod2-author1useast1	1.7G	4%
ampnz-prod3-author1apsoutheast2	1.7G	4%
magnetimarelli-prod1-author1eucentral1	1.6G	36%
edaff-prod2-publish1useast1	1.6G	36%
appian-prod-publish1useast1	1.6G	24%
temasek-prod-publish2southeastasia	1.6G	20%
researchaffiliates-prod16-publish1uswest1	1.6G	19%
nrucfc-prod9-publish2useast1	1.6G	13%
cao-prod-publish1canadacentral	1.6G	12%
adelaideedu-prod-publish1apsoutheast2	1.6G	9%
pnbmetlife-prod-author1apsouth1	1.6G	4%
uob-prod2-publish1apsoutheast1	1.5G	35%
delicato-prod1-author1uswest1	1.5G	31%
fncs-prod1-publish2useast1	1.5G	30%
galapagos-prod-publish2eucentral1	1.5G	22%
ustglobal-prod1-publish1eastus2	1.5G	19%
wideroe-prod1-publish1eucentral1	1.5G	15%
fleetcor-prod8-author1useast1	1.5G	15%
ceat-prod1-publish2apsouth1	1.5G	14%
technische-prod-publish1westeurope	1.5G	12%
nearmap-prod1-publish2uswest2	1.5G	12%
nearmap-prod1-publish1uswest2	1.5G	12%
cst-prod-author1canadacentral	1.5G	10%
dpsslacounty-prod5-publish1uswest1	1.5G	9%
thelearninglab-prod1-publish2apsoutheast1	1.5G	8%
hilton-prod2-author1useast1	1.5G	8%
fcci-prod2-publish1useast1	1.5G	7%
yadaenergia-prod-publish2westeurope	1.5G	6%
serasaexperian-prod1-author1saeast1	1.5G	6%
fcci-prod2-author1useast1	1.5G	4%
latrobe-prod2-author1australiasoutheast	1.5G	3%
economia-prod-author1francecentral	1.5G	2%
nagaseamer-prod-publish2eastus2	1.4G	30%
yadaenergia-prod-author1westeurope	1.4G	25%
moneypens-prod-publish1uksouth	1.4G	25%
caaatlantic-prod1-author1canadaeast	1.4G	25%
scotiabank-prod-publish2canadaeast	1.4G	24%
appian-prod-publish2useast1	1.4G	22%
scotiabank-prod-publish1canadaeast	1.4G	19%
pnbmetlife-prod-publish1apsouth1	1.4G	14%
minitab-prod-publish2centralus	1.4G	14%
thelearninglab-prod1-author1apsoutheast1	1.4G	13%
hilton-prod2-publish2useast1	1.4G	11%
hilton-prod2-publish1useast1	1.4G	11%
adelaideedu-prod-publish2apsoutheast2	1.4G	9%
thelearninglab-prod1-publish1apsoutheast1	1.4G	8%
sew-prod-author1australiasoutheast	1.4G	6%
nagaseamer-prod-author1eastus2	1.4G	3%
fncs-prod1-publish1useast1	1.3G	31%
trustmark-prod-publish2eastus	1.3G	28%
nswbc-prod-publish1australiaeast	1.3G	28%
radleyandco-prod-author1uksouth	1.3G	27%
magnetimarelli-prod1-publish2eucentral1	1.3G	25%
radleyandco-prod-publish2uksouth	1.3G	23%
radleyandco-prod-publish1uksouth	1.3G	23%
berlinairport-prod1-publish2eucentral1	1.3G	21%
redfcu-prod1-publish2useast1	1.3G	12%
pnbmetlife-prod-publish2apsouth1	1.3G	10%
lundbeck-prod2-publish1eucentral1	1.3G	8%
serasaexperian-prod1-publish1saeast1	1.3G	7%
sew-prod-publish1australiasoutheast	1.3G	5%
pictet-prod-publish2switzerlandnorth	1.3G	5%
nrucfc-prod9-author1useast1	1.3G	5%
uscellular-prod1-author1useast1	1.3G	4%
dpsslacounty-prod5-author1uswest1	1.3G	4%
dlh-prod2-publish1westeurope	1.3G	4%
dropbox-intranet-prod1-author1uswest1	1.2G	77%
lr-prod2-author1northeurope	1.2G	46%
cityofsac-prod2-publish1westus2	1.2G	35%
trustmark-prod-publish1eastus	1.2G	28%
cerebos-prod2-publish1apsoutheast1	1.2G	26%
enelglobal-prod2-publish2eucentral1	1.2G	19%
enelglobal-prod2-publish1eucentral1	1.2G	19%
hsbciom-prod1-publish1euwest2	1.2G	13%
futuregenerali-prod-publish2apsouth1	1.2G	13%
futuregenerali-prod-publish1apsouth1	1.2G	13%
serasaexperian-prod1-publish2saeast1	1.2G	9%
dpsslacounty-prod5-publish2uswest1	1.2G	8%
yadaenergia-prod-publish1westeurope	1.2G	6%
uniting-prod1-publish1australiaeast	1.2G	5%
sjab-prod-publish2westeurope	1.2G	4%
sjab-prod-publish1westeurope	1.2G	4%
forem-prod-author1westeurope	1.2G	4%
moneypens-prod-publish2uksouth	1.1G	21%
bcv-prod-author1switzerlandnorth	1.1G	21%
coherent-prod1-publish1uswest1	1.1G	20%
coherent-prod1-publish2uswest1	1.1G	18%
jti-prod1-publish1westeurope-INC1428712	1.1G	16%
svenskaspel-prod1-author1euwest1	1.1G	13%
grace-prod-publish1eastus	1.1G	11%
northgate-prod2-publish2francecentral	1.1G	10%
necco-prod-publish1eastus	1.1G	10%
grace-prod-publish2eastus	1.1G	9%
dkv-prod3-author1eucentral1	1.1G	7%
riverbedit-prod1-author1uswest1	1.1G	6%
altec-prod-author1useast1	1.1G	6%
adelaideedu-prod-author1apsoutheast2	1.1G	6%
uscellular-prod1-publish2useast1	1.1G	5%
uscellular-prod1-publish1useast1	1.1G	5%
